CBR     Vegas_latency   Vegas_latency_stddev    Vegas_latency   Vegas_latency_stddev
1       62.5386515311   0.0176167462975 62.526760455    0.00450453820293
2       62.5429270237   0.0192152960137 62.538241278    0.00884251237067
3       62.5655365901   0.0215030918146 62.5585129699   0.00989268593287
4       62.5976226671   0.0306593429014 62.5963660091   0.0171054151745
5       63.6221515787   0.336407059856  63.6321731526   0.339611482613
6       66.5389076978   0.996793751019  66.666703079    1.01527863476
7       66.7948154338   2.34783938866   66.6984300043   2.2277060736
8       66.3938586077   1.38090139606   65.8243188596   1.39298065642
9       66.1687414583   2.3633011242    66.7091797185   1.92420607443
10      63.7410269014   0.893431341623  63.5149277695   1.10416315908
