CBR     Vegas_throughput        Vegas_throughput_stddev Vegas_throughput        Vegas_throughput_stddev
1       7.8412929808    0.001204603586  7.83803512359   0.00342396041759
2       7.84075860887   0.00142659917758        7.83648116547   0.00269896181389
3       7.83949665876   0.00386254455072        7.83262108258   0.00319841040595
4       7.83460099738   0.006037382222  7.82807983818   0.00318163242991
5       7.70731034166   0.0400178734738 7.70096726149   0.0419329100152
6       6.70046756785   0.703275897888  6.57340944008   0.798911533584
7       5.67624343344   1.1686011105    5.42911721874   0.6367639847
8       5.06946928207   1.1932130629    4.734471607     1.03405254632
9       3.7957422601    1.49503290721   3.82395188858   0.768354250451
10      2.96260656813   1.81266100329   2.69856740933   1.79693902106                                                                       
