CBR     NewReno_latency NewReno_latency_stddev  Reno_latency    Reno_latency_stddev
1       62.6382279146   0.0187280616207 62.628029753    0.00580065641766
2       62.6463439099   0.0212084056544 62.6311396995   0.006269983928
3       62.7578416538   0.0353580471565 62.7398002221   0.0144495129021
4       62.6527673568   0.0253529004514 62.653620194    0.01603589816
5       65.366204756    0.832961990041  65.4456014295   0.870539407299
6       66.754748753    1.31543416563   66.9337525114   1.25897308412
7       66.2502157114   1.32445868352   66.92203412     1.88523796252
8       66.7490694684   2.15701492508   67.6512874906   3.34149387648
9       68.389506484    4.15733749466   70.4486619016   6.92466923535
10      64.7855158431   4.19130065717   65.8334612536   6.70636759656
