CBR     Reno_latency    Reno_latency_stddev     Reno_latency    Reno_latency_stddev
1       62.6361737403   0.0174463012207 62.6304843687   0.00672250542865
2       62.6425383023   0.0215998748439 62.6302686399   0.00690811365393
3       62.7437523984   0.0330636296524 62.7225953943   0.0265038450084
4       62.6538490149   0.0240230970728 62.6466286878   0.0149187749895
5       65.2713399412   0.57801825005   65.3361153233   0.585442817086
6       66.8339345181   0.998025427261  66.9767942945   1.16087938601
7       66.1200280986   1.17772660929   66.3274448316   1.19173643683
8       66.6270152256   2.11181456661   66.9191649814   2.16776939398
9       68.364551932    2.24489777864   68.5026536064   1.9545611563
10      63.6112652378   1.35717711568   70.0857466206   15.8481296232
~                                                                                
