CBR     NewReno_throughput      NewReno_throughput_stddev       Vegas_throughput        Vegas_throughput_stddev
1       8.18806179528   0.00321964523059        7.8255271516    0.00436210822347
2       8.19064351107   0.00247143829644        7.82286034446   0.0035164743467
3       8.17675034086   0.00209295813025        7.81939794464   0.00477875109812
4       8.18780008917   0.00293733246029        7.82490377028   0.00511768489904
5       7.95578322196   0.0620472000569 7.59161991901   0.0612905747402
6       7.53777122345   0.263602578202  6.03010616756   0.56167771483
7       6.04699329663   0.731584993433  5.04376287476   0.841857073049
8       5.0203504635    0.90426812108   4.2783341435    0.732488013884
9       3.72721757643   1.18737160555   3.36454653756   1.05791812851
10      2.39039959262   1.46339429011   2.06151936273   1.30637935918
                                                                                            
