cbr	throughput	throughput_stddev	latency	latency_stddev	pdr	pdr_stddev
1	8.17271160959	0.000166222685092	62.6269118257	0.00105396045961	0	0
2	8.17257104216	0.000226742142721	62.6271781585	0.00137169542736	0	0
3	8.15672006323	0.00849383106987	62.7056505944	0.0251675395676	0	0
4	8.17014700632	0.000143094644839	62.6370213671	0.00106770709216	0	0
5	8.15997894128	0.0038228058901	62.6854874514	0.0158752806541	0	0
6	8.14900299924	0.0047733793694	62.7332091443	0.0240950968627	0	0
7	8.15352092129	0.00131839598533	62.7080116232	0.00924539436165	0	0
8	5.76722432188	0.919893907933	64.9450023312	0.83746955136	0.000629635512568	0.000287147233245
9	4.5203057013	0.988758398838	65.9975289679	1.64350887007	0.00125663186162	0.000546283054074
10	3.39324100142	1.60331469376	66.5645018368	3.97234979934	0.00247045485239	0.00221943093232
