cbr	throughput	throughput_stddev	latency	latency_stddev	pdr	pdr_stddev
1	8.11040791353	0.00140401150794	62.6401258759	0.00917010545232	0.00106650174439	1.78853403507e-07
2	8.11018766139	0.00158430738646	62.6410568306	0.0100821175892	0.00106652450056	1.99058032366e-07
3	8.10217533633	0.00945976320128	62.6863942141	0.0509791515344	0.00106729354681	8.8577713125e-07
4	8.10997122083	0.00273236141146	62.6425427837	0.0175365748508	0.00106651885809	2.95812494337e-07
5	8.10493079094	0.0072111960808	62.6693009322	0.0406070459383	0.0010670028921	7.12235396412e-07
6	8.09872355447	0.014321553242	62.6998634238	0.0751355676393	0.00106749372348	1.2781660895e-06
7	8.0956871393	0.0131605385859	62.7179397056	0.0711595516198	0.00106778990368	1.19910952077e-06
8	7.58839986269	0.772041087401	63.3435898603	1.12276048454	0.00124647993389	0.000281024156838
9	6.47477515082	1.73872537749	64.7423687667	2.5903744032	0.00193911812769	0.00126620878491
10	6.29104779778	2.62511359719	68.1010076185	11.4718380756	0.00246376522893	0.00297183470809
