cbr	throughput	throughput_stddev	latency	latency_stddev	pdr	pdr_stddev
1	8.11072510305	0.00130539480504	62.6382847959	0.00895275374151	0.00106646193279	1.69090677356e-07
2	8.11057297091	0.00146019534747	62.6385144327	0.00918261723063	0.00106647331057	1.81992047998e-07
3	8.10085364831	0.00987249363582	62.6926347798	0.0537136003074	0.00106739045879	9.31819933665e-07
4	8.10999209398	0.00270315374247	62.6421708775	0.0169783074739	0.00106651316586	2.86752134511e-07
5	8.09975295581	0.00651060411337	62.6992156863	0.0367301780316	0.00106749826201	6.2855595207e-07
6	8.09630328814	0.0143580215103	62.7117430205	0.0753575679646	0.00106772170054	1.28658113323e-06
7	8.0964438951	0.0134515423431	62.7104626796	0.0732338202859	0.00106772156008	1.22669933345e-06
8	7.75661965034	0.493029170486	63.0505019516	0.758546302999	0.00111879147408	0.000245322231418
9	6.01519639871	2.02412594821	65.047952779	2.67736908237	0.00156950859819	0.000950493624333
10	6.4308587954	2.07339484484	65.0965793484	7.20998426183	0.00184224756375	0.00159848446318
