cbr	throughput	throughput_stddev	latency	latency_stddev	pdr	pdr_stddev
1	8.11068631292	0.00108918160017	62.6390454516	0.00802919451394	0.00106648467742	1.60449597621e-07
2	8.10950535476	0.00151768252205	62.6454190614	0.00997019574588	0.0010666041262	1.89405525623e-07
3	8.10486491476	0.00834523007607	62.6714230794	0.0447975807517	0.00106703714544	7.82029659202e-07
4	8.10751007909	0.00278526358494	62.6583771135	0.0179439651774	0.00106678623316	3.0364667221e-07
5	8.11007053938	0.0036870997063	62.6386703954	0.0195702737936	0.00106649046071	3.58523977625e-07
6	8.09905393726	0.0137094168842	62.6976430842	0.0716532075097	0.00106745940559	1.22134494194e-06
7	8.09563985549	0.0132854515392	62.7183051369	0.0721605354297	0.00106778421943	1.20650008202e-06
8	6.5658257785	1.02912165879	64.2931531376	1.19170490953	0.00116733056512	0.000314256922516
9	6.24982826105	1.92446098593	64.3598968187	1.87213434904	0.00166451932014	0.000835059485018
10	6.4890615932	2.25374567732	64.7879416917	3.91202537523	0.00160320125819	0.00087267953718
