0.0	0	69.2672
0.5	0	63.424
1.0	0	62.8081038961
1.5	0	63.008
2.0	0	62.592
2.5	0	62.592
3.0	30.6961498489	130.376666667
3.5	30.7545903399	63.376
4.0	31.268861244	63.8670315789
4.5	31.039474313	63.0554244604
5.0	30.8676867902	62.72
5.5	30.8673739546	62.72
6.0	30.8654949254	62.72
6.5	30.8634367542	62.72
7.0	30.8611902206	62.72
7.5	30.8591331343	62.72
8.0	30.8536583035	62.7212
8.5	30.8513616258	62.72
9.0	30.8494949254	62.72
9.5	30.8476322388	62.72
10.0	30.504	0
10.5	30.504	0
11.0	30.504	0
11.5	30.504	0
12.0	30.504	0
