0.0	0	64.2348108108
0.5	0	62.592
1.0	0	62.592
1.5	0	62.592
2.0	0	62.592
2.5	0	62.592
3.0	30.7666590223	97.4032592593
3.5	30.8350235081	63.436375
4.0	30.8320048048	65.4588421053
4.5	30.9494234017	63.28928
5.0	30.8675601936	69.6729791667
5.5	30.7814797136	63.2374545455
6.0	30.9620012143	65.7097580645
6.5	30.6902702864	66.0161025641
7.0	30.8944403119	64.3232191781
7.5	30.8200502693	63.3372631579
8.0	31.0548371532	64.2246836735
8.5	30.7560227681	66.137547619
9.0	30.8610023866	63.1465168539
9.5	31.1357047792	63.4169770992
10.0	30.5046678593	0
10.5	30.504	0
11.0	30.504	0
11.5	30.504	0
12.0	30.504	0
