CBR     NewReno_throughput      NewReno_throughput_stddev       Vegas_throughput        Vegas_throughput_stddev
1       8.01023406196   1.7763568394e-15        0.747817756014  1.11022302463e-16
2       6.42747892437   0.0     1.06327485989   2.22044604925e-16
3       5.62838284971   0.0     0.982229871787  1.11022302463e-16
4       4.73026483452   0.0     1.03542866747   2.22044604925e-16
5       3.95103858553   0.0     0.908900626865  0.0
6       3.08758999153   4.4408920985e-16        0.814572549597  0.0
7       2.3276423078    4.4408920985e-16        0.650035347544  1.11022302463e-16
8       1.30058057238   2.22044604925e-16       0.707898658718  1.11022302463e-16
9       0.7654611643    1.11022302463e-16       0.320307854764  5.55111512313e-17
10      0.0320049706997 6.93889390391e-18       0.0162468559325 0.0
