CBR     NewReno_throughput      NewReno_throughput_stddev       Reno_throughput Reno_throughput_stddev
1       8.20469615053   0.00339741199135        8.18083099755   0.0183858545373
2       8.20566980046   0.00196086967869        8.18467261627   0.0182962844624
3       8.1904911557    0.00220901347782        8.1632888668    0.022891987262
4       8.20554721829   0.00349787343557        8.17111247232   0.0181794852136
5       7.88769476247   0.0521909062046 7.68218164189   0.0157039648596
6       6.95878173224   0.291286733965  5.8235713696    0.39119208593
7       5.34942529622   0.339548768607  3.32389181032   0.347025956021
8       4.24599599944   0.323821411878  2.37174137728   0.322629415865
9       2.62718348688   0.17863308632   1.5712563561    0.13135851738
10      0.0652088563648 0.00652874648536        0.0116157997932 0.0124073978679
