1	62.6520578592	62.6520578592	62.6520578592	62.5450858075
2	62.6528113147	62.6528113147	62.6528113147	62.5670652742
3	62.7759665702	62.7759665702	62.7759665702	62.5889060052
4	62.6679485696	62.6679485696	62.6679485696	62.6433759791
5	62.7491456123	62.7491456123	62.7491456123	62.5736926591
6	62.8272556343	62.8272556343	62.8272556343	62.6457232376
7	62.7888175088	62.7888175088	62.7888175088	62.7770588235
8	66.8989319929	67.5665028047	67.5665028047	70.8723053116
9	69.0184891864	71.1802459584	70.5705700576	71.1471489547
10	211.243478261	211.243478261	211.243478261	146.992842105
